formula_faza,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
((2.09*x**1+8.82*x**0) / (4.09*x**2 + 0.77*x**1 + 3.38*x**0) )**(1/2),"(1.3547171482100175, 1.4531044271302982)",141.625,"(1.4174415635710438, 1.4185607975644619)",0.589,nan,0.0,"E[p_] = 100/99*Integrate[(209/100*xi1+441/50)^(1/2)*1/(169/50+409/100*xi1^2+77/100*xi1)^(1/2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0],{xi1,-Infinity,Infinity}]",0.024,"(nan, nan)",0.0
((8.78*x**1+8.35*x**0) / (0.9*x**2 + 6.48*x**1 + 3.08*x**0) )**(1/2),"(1.3527368421098391, 1.452603320386404)",143.519,"(1.4130221801937233, 1.4138941992976097)",0.525,nan,0.0,"E[p_] = Boole[100*Integrate[Boole[-1+xi1<=0]*Boole[-18/5+-xi1+1/90*77256^(1/2)!=0]*Boole[-xi1+1/100<=0]*Boole[128590+322047*xi1^2+39510*xi1^3+405752*xi1!=0]*Boole[128590+322047*xi1^2+39510*xi1^3+405752*xi1<=0],{xi1,-Infinity,Infinity}]+99*Integrate[((((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*439/90+-3951/125*xi1^2+192721/4500)*1/xi1^2+167/20)*1/((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*1/xi1^4*439/90+-1/xi1^2*11629/500+1/xi1^4*192721/4500))^(1/2)*1/(((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*1/xi1^4*192721/4500+-(-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*1/xi1^2*11629/1000+-1/xi1^2*15315393/50000+1/xi1^4*84604519/225000+471047/6250)*1/((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*1/xi1^4*439/90+-1/xi1^2*11629/500+1/xi1^4*192721/4500)^2+-1/((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)*1/xi1^4*439/90+-1/xi1^2*11629/500+1/xi1^4*192721/4500)*439/100)*100/99*Boole[((-104661/1250*xi1^2+192721/2500+19314/625*xi1^4)^(1/2)",13.716,"(nan, nan)",0.0
((4.8*x**1+8.34*x**0) / (1.72*x**1 + 5.52*x**0) )**(1/2),"(1.231768657199586, 1.330029404782459)",23.277,"(1.2947163740229024, 1.2953762459279634)",0.673,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.32*x**1+5.62*x**0) / (3.49*x**2 + 5.68*x**1 + 4.54*x**0) )**(1/2),"(0.9752809839315626, 1.0708967666699512)",133.355,"(1.027952981856522, 1.0290292318726917)",0.765,nan,0.0,nan,0.0,"(nan, nan)",0.0
((1.12*x**1+6.52*x**0) / (3.42*x**1 + 9.85*x**0) )**(1/2),"(0.6541640193440034, 0.6541640193440034)",20.366,"(0.7834755084116752, 0.7834944250812965)",0.602,nan,0.0,nan,0.0,"(nan, nan)",0.0
((1.19*x**2+4.78*x**1+0.95*x**0) / (3.06*x**0) )**(1/2),"(1.0171998506433828, 1.1166788258272065)",4.481,"(1.0768757114787493, 1.0779808851523542)",0.472,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.1*x**1+5.65*x**0) / (4.61*x**0) )**(1/2),"(1.30478256126288, 1.404581793994035)",4.443,"(1.3687790887741815, 1.3695019809931401)",0.456,nan,0.0,nan,0.0,"(nan, nan)",0.0
((9.01*x**1+8.05*x**0) / (9.31*x**2 + 4.46*x**1 + 6.51*x**0) )**(1/2),"(0.9940577455165994, 1.092943070986837)",138.076,"(1.049302155177063, 1.0501399015920638)",0.475,nan,0.0,nan,0.0,"(nan, nan)",0.0
((3.38*x**2+4.21*x**1+0.35*x**0) / (2.96*x**2 + 8.64*x**1 + 5.71*x**0) )**(1/2),"(0.36896230502599675, 0.4541074523396883)",129.87,"(0.5300329848365357, 0.5305011207660167)",0.533,nan,0.0,nan,0.0,"(nan, nan)",0.0
((0.72*x**0) / (4.02*x**0) )**(1/2),"(0.1773134328358209, 0.1773134328358209)",2.463,nan,0.351,nan,0.0,nan,0.0,"(nan, nan)",0.0
((9.77*x**0) / (0.03*x**0) )**(1/2),"(17.791058869062528, 17.891055223344395)",184.094,nan,0.325,nan,0.0,nan,0.0,"(nan, nan)",0.0
((2.31*x**0) / (1.01*x**1 + 9.14*x**0) )**(1/2),"(0.24993169473557664, 0.24993169473557664)",20.605,"(0.4893941460255913, 0.4894579168517069)",0.472,nan,0.0,nan,0.0,"(nan, nan)",0.0
((1.06*x**2+0.26*x**1+1.21*x**0) / (6.47*x**2 + 1.25*x**1 + 7.21*x**0) )**(1/2),"(0.16845141729596513, 0.16845141729596513)",127.146,"(0.4115867965772332, 0.4116183398614722)",0.539,nan,0.0,nan,0.0,"(nan, nan)",0.0
((0.46*x**0) / (3.42*x**1 + 8.75*x**0) )**(1/2),"(0, 0.05184308189704242)",19.699,"(0.21022580913166627, 0.21022945166843612)",0.495,nan,0.0,nan,0.0,"(nan, nan)",0.0
((8.63*x**1+6.82*x**0) / (6.98*x**2 + 1.92*x**1 + 7.32*x**0) )**(1/2),"(0.9783608838326773, 1.076196972215945)",138.414,"(1.0264513090182235, 1.0280047394218783)",0.48,nan,0.0,nan,0.0,"(nan, nan)",0.0
((4.8*x**2+7.41*x**1+5.68*x**0) / (3.58*x**1 + 1.23*x**0) )**(1/2),"(1.8514998981236543, 1.9514918807522914)",27.765,"(1.916887931700316, 1.9181083273128947)",0.489,nan,0.0,nan,0.0,"(nan, nan)",0.0
((1.79*x**2+1.51*x**1+9.79*x**0) / (7.41*x**2 + 5.71*x**1 + 5.37*x**0) )**(1/2),"(0.9972503206424951, 1.0968007029132874)",143.854,"(1.0599531415130652, 1.060587901767627)",0.534,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.49*x**1+2.05*x**0) / (5.01*x**1 + 0.19*x**0) )**(1/2),"(1.4583558069472966, 1.557885929538224)",32.519,"(1.5204915341021787, 1.524035909302442)",0.458,nan,0.0,nan,0.0,"(nan, nan)",0.0
((1.66*x**2+7.71*x**1+7.56*x**0) / (3.54*x**0) )**(1/2),"(1.7610488426079145, 1.8601692484192884)",5.509,"(1.829836979581874, 1.831013398422158)",0.476,nan,0.0,nan,0.0,"(nan, nan)",0.0
((2.57*x**2+6.13*x**1+9.2*x**0) / (6.1*x**0) )**(1/2),"(1.3986380955430335, 1.4958051437628084)",4.673,"(1.4618570240070061, 1.4625800198864012)",0.481,nan,0.0,nan,0.0,"(nan, nan)",0.0
((3.01*x**0) / (9.11*x**1 + 5.38*x**0) )**(1/2),"(0.4595585211383452, 0.5446619509787796)",21.429,"(0.5645342139408355, 0.5646846801377783)",0.449,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.0*x**0) / (8.14*x**1 + 3.82*x**0) )**(1/2),"(0.841554874532219, 0.9411735610934531)",24.826,"(0.9013821876115403, 0.9018613789683265)",0.457,nan,0.0,nan,0.0,"(nan, nan)",0.0
((7.2*x**2+2.76*x**1+7.51*x**0) / (6.75*x**2 + 3.05*x**1 + 3.11*x**0) )**(1/2),"(1.2552058074904289, 1.3549726276791318)",144.95,"(1.3189359302892087, 1.321047527774204)",0.748,nan,0.0,nan,0.0,"(nan, nan)",0.0
((0.86*x**1+2.49*x**0) / (0.69*x**1 + 6.55*x**0) )**(1/2),"(0.45808011049723757, 0.45808011049723757)",20.614,"(0.6503045689807102, 0.6503182919070045)",0.615,nan,0.0,nan,0.0,"(nan, nan)",0.0
((5.28*x**0) / (8.25*x**0) )**(1/2),"(0.6336, 0.6336)",2.429,nan,0.397,nan,0.0,nan,0.0,"(nan, nan)",0.0
((8.28*x**2+4.71*x**1+3.25*x**0) / (2.2*x**2 + 3.08*x**1 + 6.24*x**0) )**(1/2),"(0.8995239257812498, 0.9990167236328124)",143.527,"(0.958470304730102, 0.9594375260109754)",0.633,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.69*x**2+8.16*x**1+0.45*x**0) / (7.63*x**1 + 4.82*x**0) )**(1/2),"(0.758015342620482, 0.8578167356927711)",24.389,"(0.8144857312544832, 0.815555077552876)",0.5,nan,0.0,nan,0.0,"(nan, nan)",0.0
((6.49*x**0) / (0.58*x**2 + 4.46*x**1 + 2.38*x**0) )**(1/2),"(1.1425103762378557, 1.2421403863967626)",143.307,"(1.2022749627441545, 1.2030770231620909)",0.594,nan,0.0,nan,0.0,"(nan, nan)",0.0
((8.33*x**0) / (4.34*x**1 + 1.0*x**0) )**(1/2),"(1.6662177535019218, 1.7660750421454934)",30.173,"(1.730910781111594, 1.7335579902703795)",0.531,nan,0.0,nan,0.0,"(nan, nan)",0.0
((7.95*x**0) / (8.99*x**1 + 2.45*x**0) )**(1/2),"(1.0742716171773474, 1.174133485816368)",24.606,"(1.1327498024314908, 1.1337831320615253)",0.473,nan,0.0,nan,0.0,"(nan, nan)",0.0
